movieId,genres,title
298,Drama,Pushing Hands (Tui shou) (1992)
299,Drama,Priest (1994)
300,Drama,Quiz Show (1994)
301,Drama|Romance,Picture Bride (Bijo photo) (1994)
302,Drama|Romance,"Queen Margot (Reine Margot, La) (1994)"
303,Action|Thriller|Western,The Quick and the Dead (1995)
304,Comedy|Drama,Roommates (1995)
305,Comedy,Ready to Wear (Pret-A-Porter) (1994)
306,Drama,Three Colors: Red (Trois couleurs: Rouge) (1994)
307,Drama,Three Colors: Blue (Trois couleurs: Bleu) (1993)
308,Comedy|Drama,Three Colors: White (Trzy kolory: Bialy) (1994)
310,Comedy,Rent-a-Kid (1995)
311,Horror|Thriller,Relative Fear (1994)
312,Comedy,Stuart Saves His Family (1995)
313,Animation|Children,The Swan Princess (1994)
314,Children|Drama|Fantasy|Mystery,The Secret of Roan Inish (1994)
315,Action|Drama|Thriller,The Specialist (1994)
316,Action|Adventure|Sci-Fi,Stargate (1994)
317,Comedy|Drama|Fantasy,The Santa Clause (1994)
318,Crime|Drama,The Shawshank Redemption (1994)
319,Comedy|Drama|Thriller,Shallow Grave (1994)
320,Film-Noir|Thriller,Suture (1993)
321,Drama,Strawberry and Chocolate (Fresa y chocolate) (1993)
322,Comedy|Drama,Swimming with Sharks (1995)
324,Comedy|Drama,The Sum of Us (1994)
325,Comedy,National Lampoon's Senior Trip (1995)
326,Drama,To Live (Huozhe) (1994)
327,Action|Comedy|Sci-Fi,Tank Girl (1995)
328,Horror|Thriller,Tales from the Crypt Presents: Demon Knight (1995)
329,Adventure|Drama|Sci-Fi,Star Trek: Generations (1994)
330,Action|Crime|Horror,Tales from the Hood (1995)
331,Drama,Tom & Viv (1994)
332,Horror|Sci-Fi,Village of the Damned (1995)
333,Comedy,Tommy Boy (1995)
334,Drama,Vanya on 42nd Street (1994)
335,Mystery|Thriller,Underneath (1995)
336,Drama|War,The Walking Dead (1995)
337,Drama,What's Eating Gilbert Grape (1993)
338,Action|Sci-Fi|Thriller,Virtuosity (1995)
339,Comedy|Romance,While You Were Sleeping (1995)
340,Adventure|Drama|War,The War (1994)
341,Drama,Double Happiness (1994)
342,Comedy,Muriel's Wedding (1994)
343,Children,The Baby-Sitters Club (1995)
344,Comedy,Ace Ventura: Pet Detective (1994)
345,Comedy|Drama,"The Adventures of Priscilla, Queen of the Desert (1994)"
346,Drama|Musical,Backbeat (1993)
347,Drama|Film-Noir|Romance,Bitter Moon (1992)
348,Comedy,Bullets Over Broadway (1994)
349,Action|Crime|Drama|Thriller,Clear and Present Danger (1994)
350,Drama|Mystery|Thriller,The Client (1994)
351,Comedy|Drama|Romance,"Corrina, Corrina (1994)"
352,Comedy|Drama,Crooklyn (1994)
353,Action|Crime|Fantasy|Thriller,The Crow (1994)
354,Drama,Cobb (1994)
355,Children|Comedy|Fantasy,The Flintstones (1994)
356,Comedy|Drama|Romance|War,Forrest Gump (1994)
357,Comedy|Romance,Four Weddings and a Funeral (1994)
358,Drama,Higher Learning (1995)
359,Comedy|Drama|Romance,I Like It Like That (1994)
360,Action|Comedy,I Love Trouble (1994)
361,Comedy|Drama|Romance,It Could Happen to You (1994)
362,Adventure|Children|Romance,The Jungle Book (1994)
363,Documentary,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)"
364,Adventure|Animation|Children|Drama|Musical|IMAX,The Lion King (1994)
365,Drama,Little Buddha (1993)
366,Drama|Horror|Mystery|Thriller,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
367,Action|Comedy|Crime|Fantasy,The Mask (1994)
368,Adventure|Comedy|Western,Maverick (1994)
369,Drama,Mrs. Parker and the Vicious Circle (1994)
370,Action|Comedy,Naked Gun 33 1/3: The Final Insult (1994)
371,Comedy|Drama,The Paper (1994)
372,Comedy|Drama|Romance,Reality Bites (1994)
373,Thriller,Red Rock West (1992)
374,Children|Comedy,Richie Rich (1994)
376,Action|Thriller,The River Wild (1994)
377,Action|Romance|Thriller,Speed (1994)
378,Comedy|Romance,Speechless (1994)
379,Action|Sci-Fi|Thriller,Timecop (1994)
380,Action|Adventure|Comedy|Romance|Thriller,True Lies (1994)
381,Drama|Romance,When a Man Loves a Woman (1994)
382,Drama|Horror|Romance|Thriller,Wolf (1994)
383,Western,Wyatt Earp (1994)
384,Action|Crime|Drama,Bad Company (1995)
385,Drama,A Man of No Importance (1994)
386,Drama,S.F.W. (1994)
387,Action|Comedy,A Low Down Dirty Shame (1994)
388,Drama,Boys Life (1995)
389,Drama|Romance|War,"Colonel Chabert, Le (1994)"
390,Action|Crime|Drama,Faster Pussycat! Kill! Kill! (1965)
391,Crime|Drama,Jason's Lyric (1994)
393,Action|Adventure|Fantasy,Street Fighter (1994)
405,Action|Fantasy,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
406,Drama,Federal Hill (1994)
407,Horror|Thriller,In the Mouth of Madness (1995)
408,Drama,8 Seconds (1994)
409,Crime|Drama,Above the Rim (1994)
410,Children|Comedy|Fantasy,Addams Family Values (1993)
412,Drama,The Age of Innocence (1993)
413,Comedy,Airheads (1994)
414,Comedy,The Air Up There (1994)
415,Comedy|Thriller,Another Stakeout (1993)
416,Western,Bad Girls (1994)
417,Comedy|Romance,Barcelona (1994)
418,Drama,Being Human (1993)
419,Comedy,The Beverly Hillbillies (1993)
420,Action|Comedy|Crime|Thriller,Beverly Hills Cop III (1994)
421,Adventure|Children|Drama,Black Beauty (1994)
422,Thriller,Blink (1994)
423,Action|Thriller,Blown Away (1994)
424,Drama,Blue Chips (1994)
425,Drama|Romance,Blue Sky (1994)
426,Horror|Sci-Fi|Thriller,Body Snatchers (1993)
427,Drama|Mystery|Romance|Thriller,Boxing Helena (1993)
428,Drama,A Bronx Tale (1993)
429,Comedy,Cabin Boy (1994)
430,Comedy|Drama,Calendar Girl (1993)
431,Crime|Drama,Carlito's Way (1993)
432,Adventure|Comedy|Western,City Slickers II: The Legend of Curly's Gold (1994)
433,Comedy,Clean Slate (1994)
434,Action|Adventure|Thriller,Cliffhanger (1993)
435,Comedy|Sci-Fi,Coneheads (1993)
436,Drama|Thriller,Color of Night (1994)
437,Comedy,Cops and Robbersons (1994)
438,Action|Comedy|Drama,The Cowboy Way (1994)
440,Comedy|Romance,Dave (1993)
441,Comedy,Dazed and Confused (1993)
442,Action|Adventure|Sci-Fi,Demolition Man (1993)
444,Comedy|Romance,Even Cowgirls Get the Blues (1993)
445,Comedy,Fatal Instinct (1993)
446,Drama|Romance,Farewell My Concubine (Ba wang bie ji) (1993)
448,Drama,Fearless (1993)
449,Comedy,Fear of a Black Hat (1994)
450,Comedy|Drama,With Honors (1994)
451,Drama|Mystery|Romance,Flesh and Bone (1993)
452,Drama,Widows' Peak (1994)
453,Comedy|Romance,For Love or Money (1993)
454,Drama|Thriller,The Firm (1993)
455,Adventure|Children|Drama,Free Willy (1993)
456,Crime|Drama|Thriller,Fresh (1994)
457,Thriller,The Fugitive (1993)
458,Drama|Western,Geronimo: An American Legend (1993)
459,Action|Adventure|Crime|Drama|Romance|Thriller,The Getaway (1994)
460,Comedy,Getting Even with Dad (1994)
461,Drama|Romance,Go Fish (1994)
464,Action|Adventure|Crime|Thriller,Hard Target (1993)
466,Action|Comedy|War,Hot Shots! Part Deux (1993)
467,Comedy,Live Nude Girls (1995)
468,Comedy|Romance,The Englishman Who Went Up a Hill But Came Down a Mountain (1995)
469,Drama|Romance,The House of the Spirits (1993)
470,Comedy,House Party 3 (1994)
471,Comedy,The Hudsucker Proxy (1994)
472,Comedy|Drama,I'll Do Anything (1994)
473,Comedy|War,In the Army Now (1994)
474,Action|Thriller,In the Line of Fire (1993)
475,Drama,In the Name of the Father (1993)
476,Comedy|Drama,The Inkwell (1994)
477,Drama|Musical,What's Love Got to Do with It? (1993)
478,Comedy|Crime|Drama,Jimmy Hollywood (1994)
479,Action|Crime|Thriller,Judgment Night (1993)
480,Action|Adventure|Sci-Fi|Thriller,Jurassic Park (1993)
481,Drama|Thriller,Kalifornia (1993)
482,Crime|Drama|Thriller,Killing Zoe (1994)
484,Adventure|Children,Lassie (1994)
485,Action|Adventure|Comedy|Fantasy,Last Action Hero (1993)
486,Comedy,Life with Mikey (1993)
487,Comedy|Western,Lightning Jack (1994)
488,Drama|Romance,M. Butterfly (1993)
489,Comedy,Made in America (1993)
490,Thriller,Malice (1993)
491,Drama,The Man Without a Face (1993)
492,Comedy|Mystery,Manhattan Murder Mystery (1993)
493,Action|Crime|Drama,Menace II Society (1993)
494,Action|Adventure|Thriller,Executive Decision (1996)
495,Drama,In the Realm of the Senses (Ai no corrida) (1976)
496,Comedy|Drama|Romance|Thriller,What Happened Was... (1994)
497,Comedy|Romance,Much Ado About Nothing (1993)
499,Comedy|Romance,Mr. Wonderful (1993)
500,Comedy|Drama,Mrs. Doubtfire (1993)
501,Drama,Naked (1993)
502,Action|Children|Romance,The Next Karate Kid (1994)
504,Action|Drama|Sci-Fi,No Escape (1994)
505,Comedy,North (1994)
506,Drama|Fantasy|Romance,Orlando (1992)
507,Crime|Drama|Thriller,A Perfect World (1993)
508,Drama,Philadelphia (1993)
509,Drama|Romance,The Piano (1993)
510,Drama,Poetic Justice (1993)
511,Action|Drama,The Program (1993)
512,Horror|Sci-Fi,The Puppet Masters (1994)
513,Comedy|Mystery|Romance,Radioland Murders (1994)
514,Comedy,The Ref (1994)
515,Drama|Romance,The Remains of the Day (1993)
516,Comedy|Drama,Renaissance Man (1994)
517,Action|Drama|Mystery,Rising Sun (1993)
518,Comedy,The Road to Wellville (1994)
519,Action|Crime|Drama|Sci-Fi|Thriller,RoboCop 3 (1993)
520,Comedy,Robin Hood: Men in Tights (1993)
521,Crime|Thriller,Romeo Is Bleeding (1993)
522,Action|Drama,Romper Stomper (1992)
523,Drama,Ruby in Paradise (1993)
524,Drama,Rudy (1993)
526,Drama,"Savage Nights (Nuits fauves, Les) (1992)"
527,Drama|War,Schindler's List (1993)
528,Comedy|Drama,The Scout (1994)
529,Drama,Searching for Bobby Fischer (1993)
531,Children|Drama,The Secret Garden (1993)
532,Comedy|Crime|Horror,Serial Mom (1994)
533,Action|Adventure|Fantasy|Mystery,The Shadow (1994)
534,Drama|Romance,Shadowlands (1993)
535,Drama,Short Cuts (1993)
536,Drama,A Simple Twist of Fate (1994)
537,Drama,Sirens (1994)
538,Drama,Six Degrees of Separation (1993)
539,Comedy|Drama|Romance,Sleepless in Seattle (1993)
540,Thriller,Sliver (1993)
541,Action|Sci-Fi|Thriller,Blade Runner (1982)
542,Comedy|Drama|Romance,Son in Law (1993)
543,Comedy|Romance|Thriller,So I Married an Axe Murderer (1993)
544,Action|Crime,Striking Distance (1993)
546,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,Super Mario Bros. (1993)
547,Action|Adventure|Thriller,Surviving the Game (1994)
548,Action|Mystery|Thriller,Terminal Velocity (1994)
549,Drama|Musical,Thirty-Two Short Films About Glenn Gould (1993)
550,Comedy|Romance,Threesome (1994)
551,Animation|Children|Fantasy|Musical,The Nightmare Before Christmas (1993)
552,Action|Adventure|Comedy|Romance,The Three Musketeers (1993)
553,Action|Drama|Western,Tombstone (1993)
555,Crime|Thriller,True Romance (1993)
556,Documentary,The War Room (1993)
558,Action|Adventure|Animation|Children|Fantasy,The Pagemaster (1994)
562,Comedy|Drama,Welcome to the Dollhouse (1995)
563,Drama|Romance,Germinal (1993)
564,Comedy,Chasers (1994)
567,Comedy|Drama,Kika (1993)
568,Comedy|Drama,Bhaji on the Beach (1993)
569,Comedy|Drama,Little Big League (1994)
573,Drama,"Ciao, Professore! (Io speriamo che me la cavo) (1992)"
574,Comedy|Drama,Spanking the Monkey (1994)
575,Children|Comedy,The Little Rascals (1994)
577,Adventure|Children|Drama,Andre (1994)
579,Crime|Thriller,"Escort, The (Scorta, La) (1993)"
580,Drama,Princess Caraboo (1994)
581,Documentary,The Celluloid Closet (1995)
583,Comedy|Drama,Dear Diary (Caro Diario) (1994)
585,Comedy,The Brady Bunch Movie (1995)
586,Children|Comedy,Home Alone (1990)
587,Comedy|Drama|Fantasy|Romance|Thriller,Ghost (1990)
588,Adventure|Animation|Children|Comedy|Musical,Aladdin (1992)
589,Action|Sci-Fi,Terminator 2: Judgment Day (1991)
590,Adventure|Drama|Western,Dances with Wolves (1990)
592,Action|Crime|Thriller,Batman (1989)
593,Crime|Horror|Thriller,The Silence of the Lambs (1991)
594,Animation|Children|Drama|Fantasy|Musical,Snow White and the Seven Dwarfs (1937)
595,Animation|Children|Fantasy|Musical|Romance|IMAX,Beauty and the Beast (1991)
596,Animation|Children|Fantasy|Musical,Pinocchio (1940)
597,Comedy|Romance,Pretty Woman (1990)
599,Adventure|Western,The Wild Bunch (1969)
600,Action|Comedy|Crime,Love and a .45 (1994)
602,Documentary,A Great Day in Harlem (1994)
605,Drama|Romance,One Fine Day (1996)
606,Fantasy|Horror,Candyman: Farewell to the Flesh (1995)
608,Comedy|Crime|Drama|Thriller,Fargo (1996)
609,Adventure|Children,Homeward Bound II: Lost in San Francisco (1996)
610,Action|Adventure|Animation|Horror|Sci-Fi,Heavy Metal (1981)
611,Action|Horror|Sci-Fi,Hellraiser: Bloodline (1996)
612,Comedy,The Pallbearer (1996)
613,Drama|Romance,Jane Eyre (1996)
615,Comedy|Drama,Bread and Chocolate (Pane e cioccolata) (1973)
616,Animation|Children,The Aristocats (1970)
617,Comedy|Drama,"Flower of My Secret, The (La flor de mi secreto) (1995)"
618,Comedy|Romance,Two Much (1995)
619,Comedy,Ed (1996)
626,Comedy,A Thin Line Between Love and Hate (1996)
627,Drama|Thriller,The Last Supper (1995)
628,Crime|Drama|Mystery|Thriller,Primal Fear (1996)
631,Adventure|Animation|Children|Fantasy|Musical|Romance,All Dogs Go to Heaven 2 (1996)
632,Drama|War,Land and Freedom (Tierra y libertad) (1995)
633,Comedy,Denise Calls Up (1995)
634,Comedy,Theodore Rex (1995)
635,Comedy|Drama,A Family Thing (1996)
636,Drama,Frisk (1995)
637,Comedy,Sgt. Bilko (1996)
638,Romance,Jack and Sarah (1995)
639,Comedy|Drama,Girl 6 (1996)
640,Drama|Thriller,Diabolique (1996)
645,Drama,Nelly & Monsieur Arnaud (1995)
647,Action|Crime|Drama|War,Courage Under Fire (1996)
648,Action|Adventure|Mystery|Thriller,Mission: Impossible (1996)
649,Comedy|Drama,Cold Fever (Á köldum klaka) (1995)
650,Drama,Moll Flanders (1996)
653,Action|Adventure|Fantasy,Dragonheart (1996)
656,Comedy,Eddie (1996)
661,Adventure|Animation|Children|Fantasy|Musical,James and the Giant Peach (1996)
662,Thriller,Fear (1996)
663,Comedy,Kids in the Hall: Brain Candy (1996)
665,Comedy|Drama|War,Underground (1995)
667,Action,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
668,Drama,Song of the Little Road (Pather Panchali) (1955)
670,Drama,"World of Apu, The (Apur Sansar) (1959)"
